year,state,halfyear,suppression,totalRX
2015,ID,2,T,0
2015,IL,1,T,0
2015,IL,1,F,26268
2015,IL,2,T,0
2015,IL,2,F,39823
2015,IN,1,T,0
2015,IN,1,F,19826
2015,IN,2,F,24435
2015,IN,2,T,0
2015,KS,1,F,6759
2015,KS,1,T,0
2015,KS,2,F,5556
2015,KS,2,T,0
2015,KY,1,F,38801
2015,KY,1,T,0
2015,KY,2,F,34921
2015,KY,2,T,0
2015,LA,1,T,0
2015,LA,1,F,13610
2015,LA,2,T,0
2015,LA,2,F,11205
2015,MA,1,T,0
2015,MA,1,F,13652
2015,MA,2,T,0
2015,MA,2,F,13327
2015,MD,1,T,0
2015,MD,1,F,15667
2015,MD,2,T,0
2015,MD,2,F,16273
2015,ME,1,T,0
2015,ME,1,F,4351
2015,ME,2,T,0
2015,ME,2,F,4286
2015,MI,1,T,0
2015,MI,1,F,25297
2015,MI,2,T,0
2015,MI,2,F,26112
2015,MN,1,F,18393
2015,MN,1,T,0
2015,MN,2,F,18316
2015,MN,2,T,0
2015,MO,1,T,0
2015,MO,1,F,26802
2015,MO,2,T,0
2015,MO,2,F,26941
2015,MS,1,F,4118
2015,MS,1,T,0
2015,MS,2,T,0
2015,MS,2,F,4120
2015,MT,1,T,0
2015,MT,1,F,3121
2015,MT,2,F,2776
2015,MT,2,T,0
2015,NC,1,T,0
2015,NC,1,F,19277
2015,NC,2,T,0
2015,NC,2,F,21185
2015,NE,1,T,0
2015,NE,1,F,2355
2015,NE,2,T,0
2015,NE,2,F,2192
2015,NH,1,T,0
2015,NH,1,F,3235
2015,NH,2,T,0
2015,NH,2,F,3866
2015,NJ,1,T,0
2015,NJ,1,F,17102
2015,NJ,2,T,0
2015,NJ,2,F,17396
2015,NM,1,T,0
2015,NM,1,F,4256
2015,NM,2,F,3906
2015,NM,2,T,0
2015,NV,1,T,0
2015,NV,1,F,7113
2015,NV,2,T,0
2015,NV,2,F,7281
2015,NY,1,T,0
2015,NY,1,F,62195
2015,NY,2,T,0
2015,NY,2,F,53809
2015,OH,1,T,0
2015,OH,1,F,71875
2015,OH,2,T,0
2015,OH,2,F,88043
2015,OK,1,F,10227
2015,OK,1,T,0
2015,OK,2,F,11266
2015,OK,2,T,0
2015,OR,1,T,0
2015,OR,1,F,17026
2015,OR,2,T,0
2015,OR,2,F,12775
2015,PA,1,T,0
2015,PA,1,F,26679
2015,PA,2,F,30536
2015,PA,2,T,0
2015,RI,1,T,0
2015,RI,1,F,264
2015,RI,2,T,0
2015,RI,2,F,139
2015,SC,1,T,0
2015,SC,1,F,6034
2015,SC,2,T,0
2015,SC,2,F,6044
2015,SD,1,T,0
2015,SD,1,F,1801
2015,SD,2,T,0
2015,SD,2,F,2125
2015,TN,1,T,0
2015,TN,1,F,19571
2015,TN,2,T,0
2015,TN,2,F,22157
2015,TX,1,T,0
2015,TX,1,F,25020
2015,TX,2,T,0
2015,TX,2,F,22425
2015,UT,1,T,0
2015,UT,1,F,3003
2015,UT,2,T,0
2015,UT,2,F,2632
2015,VA,1,T,0
2015,VA,1,F,18886
