state,group,year,halfyear,chipMedicaidEnroll,suppression,totalRX
MN,1,2013,2,874658,T,0
MN,1,2014,1,1055689,T,0
MN,1,2014,1,1055689,F,19347
MN,1,2014,2,1213607,F,21774
MN,1,2014,2,1213607,T,0
MN,1,2015,1,1029724,F,18393
MN,1,2015,1,1029724,T,0
MN,1,2015,2,1070731,F,18316
MN,1,2015,2,1070731,T,0
MN,1,2016,1,1049997,F,19368
MN,1,2016,1,1049997,T,0
MN,1,2016,2,1049566,T,0
MN,1,2016,2,1049566,F,20304
MO,0,2011,1,895253,F,24065
MO,0,2011,1,895253,T,0
MO,0,2011,2,891963,F,24626
MO,0,2011,2,891963,T,0
MO,0,2012,1,887728,F,24188
MO,0,2012,1,887728,T,0
MO,0,2012,2,877600,T,0
MO,0,2012,2,877600,F,26066
MO,0,2013,1,866954,T,0
MO,0,2013,1,866954,F,29923
MO,0,2013,2,845554,T,0
MO,0,2013,2,845554,F,30443
MO,0,2014,1,808824,F,25826
MO,0,2014,1,808824,T,0
MO,0,2014,2,855487,T,0
MO,0,2014,2,855487,F,26182
MO,0,2015,1,926289,T,0
MO,0,2015,1,926289,F,26802
MO,0,2015,2,948576,T,0
MO,0,2015,2,948576,F,26941
MO,0,2016,1,964598,F,26681
MO,0,2016,1,964598,T,0
MO,0,2016,2,976256,T,0
MO,0,2016,2,976256,F,27708
MS,0,2011,1,687469,F,1450
MS,0,2011,1,687469,T,0
MS,0,2011,2,690583,F,3624
MS,0,2011,2,690583,T,0
MS,0,2012,1,692750,F,2623
MS,0,2012,1,692750,T,0
MS,0,2012,2,691658,F,2616
MS,0,2012,2,691658,T,0
MS,0,2013,1,692641,T,0
MS,0,2013,1,692641,F,3056
MS,0,2013,2,695009,F,3498
MS,0,2013,2,695009,T,0
MS,0,2014,1,687967,F,4005
MS,0,2014,1,687967,T,0
MS,0,2014,2,714084,F,4018
MS,0,2014,2,714084,T,0
MS,0,2015,1,712828,F,4118
MS,0,2015,1,712828,T,0
MS,0,2015,2,693365,T,0
MS,0,2015,2,693365,F,4120
MS,0,2016,1,699103,T,0
MS,0,2016,1,699103,F,4250
MS,0,2016,2,684094,T,0
MS,0,2016,2,684094,F,4184
MT,0,2011,1,137239,T,0
MT,0,2011,1,137239,F,2635
MT,0,2011,2,132501,T,0
MT,0,2011,2,132501,F,2598
MT,0,2012,1,144144,T,0
MT,0,2012,1,144144,F,2668
MT,0,2012,2,140437,F,3062
MT,0,2012,2,140437,T,0
MT,0,2013,1,152619,T,0
MT,0,2013,1,152619,F,2761
MT,0,2013,2,148144,T,0
MT,0,2013,2,148144,F,2831
MT,0,2014,1,168500,T,0
MT,0,2014,1,168500,F,3085
MT,0,2014,2,167328,T,0
MT,0,2014,2,167328,F,3099
MT,0,2015,1,177652,T,0
MT,0,2015,1,177652,F,3121
MT,0,2015,2,185716,F,2776
MT,0,2015,2,185716,T,0
MT,0,2016,1,239983,F,3752
MT,0,2016,1,239983,T,0
MT,0,2016,2,245360,T,0
MT,0,2016,2,245360,F,3611
NC,0,2011,1,1584385,F,16390
NC,0,2011,1,1584385,T,0
NC,0,2011,2,1629599,F,15306
NC,0,2011,2,1629599,T,0
NC,0,2012,1,1661666,T,0
NC,0,2012,1,1661666,F,14973
NC,0,2012,2,1696569,T,0
NC,0,2012,2,1696569,F,14433
NC,0,2013,1,1699943,T,0
NC,0,2013,1,1699943,F,19072
NC,0,2013,2,1691981,T,0
NC,0,2013,2,1691981,F,16362
NC,0,2014,1,1809993,F,16722
NC,0,2014,1,1809993,T,0
NC,0,2014,2,1821459,F,20948
NC,0,2014,2,1821459,T,0
NC,0,2015,1,2000049,T,0
NC,0,2015,1,2000049,F,19277
NC,0,2015,2,2000804,T,0
NC,0,2015,2,2000804,F,21185
NC,0,2016,1,2047693,T,0
NC,0,2016,1,2047693,F,22961
NC,0,2016,2,2084900,T,0
NC,0,2016,2,2084900,F,23315
NE,0,2011,1,236596,T,0
NE,0,2011,1,236596,F,2730
NE,0,2011,2,237169,T,0
NE,0,2011,2,237169,F,3187
NE,0,2012,1,236616,F,3303
NE,0,2012,1,236616,T,0
NE,0,2012,2,239295,F,3668
NE,0,2012,2,239295,T,0
NE,0,2013,1,244432,F,3590
NE,0,2013,1,244432,T,0
NE,0,2013,2,233139,F,3261
NE,0,2013,2,233139,T,0
NE,0,2014,1,238506,T,0
NE,0,2014,1,238506,F,3530
NE,0,2014,2,240058,T,0
NE,0,2014,2,240058,F,2691
NE,0,2015,1,237498,T,0
NE,0,2015,1,237498,F,2355
NE,0,2015,2,237979,T,0
NE,0,2015,2,237979,F,2192
NE,0,2016,1,240748,T,0
NE,0,2016,1,240748,F,3227
NE,0,2016,2,243657,F,2599
NE,0,2016,2,243657,T,0
NH,0,2011,1,142838,T,0
NH,0,2011,1,142838,F,3600
NH,0,2011,2,142986,T,0
NH,0,2011,2,142986,F,3440
NH,0,2012,1,142868,T,0
NH,0,2012,1,142868,F,3241
NH,0,2012,2,150462,T,0
NH,0,2012,2,150462,F,3936
NH,0,2013,1,151415,T,0
NH,0,2013,1,151415,F,3446
NH,0,2013,2,148211,T,0
NH,0,2013,2,148211,F,3001
NH,0,2014,1,137163,T,0
NH,0,2014,1,137163,F,2642
NH,0,2014,2,167330,T,0
NH,0,2014,2,167330,F,3117
NH,0,2015,1,181243,T,0
NH,0,2015,1,181243,F,3235
NH,0,2015,2,189687,T,0
NH,0,2015,2,189687,F,3866
NH,0,2016,1,190009,T,0
NH,0,2016,1,190009,F,3885
NH,0,2016,2,191363,T,0
NH,0,2016,2,191363,F,3328
NJ,1,2011,1,1064318,F,7801
NJ,1,2011,1,1064318,T,0
NJ,1,2011,2,1134594,F,7083
NJ,1,2011,2,1134594,T,0
NJ,1,2012,1,1149137,T,0
NJ,1,2012,1,1149137,F,10448
NJ,1,2012,2,1155534,T,0
NJ,1,2012,2,1155534,F,10632
NJ,1,2013,1,1157176,T,0
NJ,1,2013,1,1157176,F,12378
NJ,1,2013,2,1132464,F,10483
NJ,1,2013,2,1132464,T,0
NJ,1,2014,1,1534404,T,0
NJ,1,2014,1,1534404,F,14764
NJ,1,2014,2,1672822,F,13706
NJ,1,2014,2,1672822,T,0
NJ,1,2015,1,1790621,T,0
NJ,1,2015,1,1790621,F,17102
NJ,1,2015,2,1737333,T,0
NJ,1,2015,2,1737333,F,17396
NJ,1,2016,1,1780412,T,0
NJ,1,2016,1,1780412,F,20684
NJ,1,2016,2,1795251,F,21026
NJ,1,2016,2,1795251,T,0
NM,1,2011,1,517565,F,2608
NM,1,2011,1,517565,T,0
NM,1,2011,2,515325,T,0
NM,1,2011,2,515325,F,1883
NM,1,2012,1,516826,T,0
NM,1,2012,1,516826,F,2792
NM,1,2012,2,518127,T,0
NM,1,2012,2,518127,F,2636
NM,1,2013,1,515362,T,0
NM,1,2013,1,515362,F,3583
NM,1,2013,2,508548,F,2185
NM,1,2013,2,508548,T,0
NM,1,2014,1,691524,T,0
NM,1,2014,1,691524,F,1216
NM,1,2014,2,687942,F,5959
NM,1,2014,2,687942,T,0
NM,1,2015,1,711541,T,0
NM,1,2015,1,711541,F,4256
NM,1,2015,2,738231,F,3906
NM,1,2015,2,738231,T,0
NM,1,2016,1,757248,F,3970
NM,1,2016,1,757248,T,0
NM,1,2016,2,775020,T,0
NM,1,2016,2,775020,F,5654
